Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
32,29,275,40.323108073633776,0.9309090909090909
32,28,275,41.161753899095835,0.9309090909090909
32,27,275,40.25964985064454,0.9309090909090909
32,26,275,40.01978728477929,0.9309090909090909
4,3,300,2.253367316911753,6.826666666666667
4,2,300,1.365385404060765,6.826666666666667
4,1,300,3.2695271881922117,6.826666666666667
5,4,300,0.9195683057453161,5.461333333333333
5,3,300,4.659334130730672e-78,5.461333333333333
5,2,300,1.2726660344874043,5.461333333333333
5,1,300,3.2695271881922117,5.461333333333333
6,5,300,8.948041025588447,4.551111111111111
6,4,300,5.281774000495748e-154,4.551111111111111
6,3,300,2.5839557568392018e-154,4.551111111111111
6,2,300,0.3069575558605064,4.551111111111111
