NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
8,12,16,16,0.0029686449686936074,12,33906.0,16896,384,0.4733038265449045,8.8,4.733038265449045,3.5698e-06,160,0,0.0
2,48,32,2,0.0029970498067775613,35,49910.0,24640,1680,0.47657730842133766,2.933333333333333,2.933333333333333,8.4e-06,170,1736,8.68e-06
2,56,32,2,0.0029749072084718276,32,47680.0,23552,1792,0.4760672703751617,2.6285714285714286,2.6285714285714286,8.96e-06,170,1845,9.225e-06
2,64,32,2,0.002959201260998995,29,45066.0,22272,1856,0.47530837850527125,2.4,2.4,9.28e-06,170,1906,9.53e-06
2,72,32,2,0.0029615339217940154,27,43686.0,21600,1944,0.47495492325959804,2.2222222222222223,2.2222222222222223,9.72e-06,170,1992,9.96e-06
2,80,32,2,0.0029968660368476677,25,42050.0,20800,2000,0.4744309109985858,2.08,2.08,1e-05,170,2046,1.023e-05
2,88,32,2,0.0029589645296416466,25,43650.0,21600,2200,0.47533119140882885,1.9636363636363638,1.9636363636363638,1.0999999999999998e-05,170,2246,1.123e-05
2,96,32,2,0.0029558355993362048,25,45250.0,22400,2400,0.4761702308575316,1.8666666666666667,1.8666666666666667,1.2e-05,170,2446,1.223e-05
3,48,32,2,0.0029593818274340233,21,40698.0,20160,1008,0.4744645799011532,4.0,4.0,5.04e-06,170,1051,5.255e-06
3,56,32,2,0.002987714081865803,18,36036.0,17856,1008,0.47203129956645873,3.542857142857143,3.542857142857143,5.04e-06,170,1048,5.24e-06
3,64,32,2,0.002937608550957446,17,35122.0,17408,1088,0.4715825973885247,3.2,3.2,5.44e-06,170,1127,5.635e-06
3,72,32,2,0.0029224362259348794,16,34080.0,16896,1152,0.47100802854594115,2.933333333333333,2.933333333333333,5.76e-06,170,1190,5.95e-06
3,80,32,2,0.0029477118696678586,15,32910.0,16320,1200,0.47028989683591726,2.72,2.72,6e-06,170,1237,6.185e-06
3,88,32,2,0.0029120763004945177,15,33870.0,16800,1320,0.4710896752846167,2.5454545454545454,2.5454545454545454,6.6e-06,170,1357,6.785e-06
3,96,32,2,0.0029007292996086932,15,34830.0,17280,1440,0.4718475233466222,2.4,2.4,7.2e-06,170,1477,7.385e-06
4,48,32,2,0.0029804565003013136,17,41650.0,20672,816,0.47585286128631277,5.066666666666666,4.7585286128631274,4.344200000000001e-06,170,0,0.0
4,56,32,2,0.0029738570137158656,15,37710.0,18720,840,0.4739000556933826,4.457142857142857,4.457142857142857,4.2e-06,170,878,4.39e-06
4,64,32,2,0.002942406271523149,14,36092.0,17920,896,0.4730229120473023,4.0,4.0,4.48e-06,170,933,4.665e-06
4,72,32,2,0.0029557970217129644,13,34346.0,17056,936,0.4719685649454867,3.6444444444444444,3.6444444444444444,4.68e-06,170,972,4.86e-06
4,80,32,2,0.0028886563170189387,13,35178.0,17472,1040,0.47259940492291047,3.36,3.36,5.2e-06,170,1076,5.38e-06
4,88,32,2,0.00297982964122323,12,33240.0,16512,1056,0.47134048869604933,3.1272727272727274,3.1272727272727274,5.28e-06,170,1091,5.455e-06
4,96,32,2,0.0029686449686936074,12,34008.0,16896,1152,0.47195530726256985,2.933333333333333,2.933333333333333,5.76e-06,170,1187,5.935e-06
