NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
7,80,16,2,0.002933800177897381,15,16755.0,32700,1200,1.7630883700868065,5.45,5.45,6e-06
7,88,16,2,0.00290032830011785,15,17715.0,34620,1320,1.7747475265289383,5.245454545454545,5.245454545454545,6.6e-06
7,96,16,2,0.0029968173697079072,14,17430.0,34104,1344,1.774217042971595,5.075,5.075,6.72e-06
7,12,16,8,0.0029760574099870546,28,23856.0,46704,336,1.8209606986899562,27.8,18.209606986899562,2.5648e-06
7,14,16,8,0.0029798725572830393,24,21984.0,43104,336,1.812920592193809,25.657142857142855,18.12920592193809,2.3776e-06
7,16,16,8,0.002997739790806434,21,20580.0,40404,336,1.8060075093867334,24.05,18.060075093867333,2.2372000000000004e-06
7,18,16,8,0.0029597471869342875,19,19836.0,38988,342,1.8026632143517662,22.8,18.026632143517663,2.1628e-06
7,20,16,8,0.002957197215614285,17,18836.0,37060,340,1.7965871630793098,21.8,17.965871630793096,2.0628000000000004e-06
7,22,16,8,0.0029877882411853234,15,17580.0,34620,330,1.7871154243237664,20.98181818181818,17.87115424323766,1.9372e-06
7,24,16,8,0.0029968173697079072,14,17304.0,34104,336,1.7859237536656891,20.3,17.85923753665689,1.9096e-06
7,6,16,16,0.002978592062452792,30,25515.0,50040,210,1.832497161899879,47.65714285714286,18.32497161899879,2.7307e-06
7,7,16,16,0.0029671483579731847,26,23777.0,46696,182,1.8262740036763268,51.31428571428571,18.26274003676327,2.5569e-06
7,8,16,16,0.0029556356696549746,23,22505.5,44252,184,1.8212573310011317,48.1,18.21257331001132,2.42975e-06
7,9,16,16,0.002981182285042426,20,20850.0,41040,180,1.8125607278508966,45.6,18.125607278508966,2.2642e-06
7,10,16,16,0.0029633747155985097,18,19917.0,39240,180,1.80754525772721,43.6,18.0754525772721,2.1709000000000003e-06
7,11,16,16,0.0029455524521895954,16,18728.0,36928,176,1.7996101364522417,41.96363636363636,17.996101364522417,2.052e-06
7,12,16,16,0.0029968173697079072,14,17283.0,34104,168,1.7878899082568807,40.6,17.878899082568807,1.9075e-06
7,3,16,32,0.00299240029162144,31,26342.25,51708,217,1.8379022010538757,47.65714285714286,18.37902201053876,2.8134249999999997e-06
7,4,16,32,0.0029833849092088965,23,22488.25,44252,161,1.8225512505019512,54.97142857142857,18.225512505019513,2.428025e-06
7,5,16,32,0.002925618514167231,19,21009.25,41420,133,1.816567074173565,62.28571428571429,18.165670741735653,2.2801249999999996e-06
7,6,16,32,0.0029968173697079072,14,17272.5,34104,98,1.7888746098769965,69.6,17.888746098769964,1.90645e-06
7,2,16,64,0.0029858533132662325,23,22479.625,44252,161,1.8231988999500446,54.97142857142857,18.231988999500444,2.4271624999999997e-06
7,3,16,64,0.0029968173697079072,14,17267.25,34104,98,1.789367367551189,69.6,17.89367367551189,1.9059249999999999e-06
7,1,16,192,0.0029968173697079072,14,17263.75,34104,98,1.7896960235099642,69.6,17.89696023509964,1.905575e-06
8,48,16,2,0.002980456483356638,17,15725.0,30532,816,1.7429925215504938,7.483333333333333,7.483333333333333,4.08e-06
8,56,16,2,0.0029738570131868443,15,14835.0,28860,840,1.7357310398749022,6.871428571428571,6.871428571428571,4.2e-06
8,64,16,2,0.0029424062714346506,14,14742.0,28728,896,1.737510584250635,6.4125,6.4125,4.48e-06
