NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
4,8,16,16,85.55,0.0058877292963631,7,43344.0,21504,56,0.4684559079818752,57.6,4.684559079818752,4.5904e-06,1280,73,4.866666666666666e-07,256
4,9,16,16,85.6,0.0059664594950522,6,40224.0,19968,54,0.4667165295437547,55.46666666666666,4.667165295437547,4.2783999999999996e-06,1280,70,4.6666666666666666e-07,256
4,10,16,16,85.28999999999999,0.0058004590797356,6,43296.0,21504,60,0.46894626657362176,53.76,4.689462665736218,4.5856e-06,1280,76,5.066666666666667e-07,256
4,11,16,16,85.33,0.0056543062272607,6,46368.0,23040,66,0.4708960104643558,52.36363636363636,4.708960104643558,4.8928e-06,1280,82,5.466666666666667e-07,256
4,12,16,16,85.3,0.0055504372250172,6,49440.0,24576,72,0.4726153846153846,51.2,4.726153846153846,5.200000000000001e-06,1280,88,5.866666666666666e-07,256
4,3,16,32,85.57000000000001,0.0058392363371976,10,51620.0,25600,40,0.4724990771502399,96.0,4.724990771502399,5.418000000000001e-06,1920,60,4e-07,384
4,4,16,32,85.59,0.0059476433936248,7,43302.0,21504,28,0.4688849156164145,115.2,4.688849156164145,4.5862e-06,1920,46,3.0666666666666666e-07,384
4,5,16,32,85.39,0.0058295833171082,6,43260.0,21504,30,0.46931470973374073,107.52,4.693147097337407,4.582e-06,1920,47,3.1333333333333333e-07,384
4,6,16,32,85.3,0.0055504372250172,6,49404.0,24576,36,0.47294280655838655,102.4,4.729428065583866,5.1964e-06,1920,53,3.533333333333333e-07,384
4,2,16,64,85.32,0.0059641019469333,7,43281.0,21504,28,0.46909971422961977,115.2,4.690997142296197,4.584100000000001e-06,3200,45,3e-07,640
4,3,16,64,85.3,0.0055504372250172,6,49386.0,24576,24,0.4731066877141647,153.6,4.731066877141647,5.1946e-06,3200,41,2.7333333333333335e-07,640
4,1,16,192,85.3,0.0055504372250172,6,49374.0,24576,24,0.4732160049293334,153.6,4.732160049293334,5.193399999999999e-06,8320,41,2.7333333333333335e-07,1664
1,48,32,2,85.24000000000001,0.0052013663311188,19,80294.0,38912,912,0.46964540034277164,6.4,4.696454003427716,8.2854e-06,1360,935,6.2333333333333335e-06,272
1,56,32,2,85.15,0.0048655305521789,20,94760.0,46080,1120,0.47348951911220716,6.171428571428572,4.734895191122072,9.732e-06,1360,1144,7.626666666666667e-06,272
1,64,32,2,85.33,0.004679166232654,20,105000.0,51200,1280,0.476013387876534,6.0,4.76013387876534,1.0756e-05,1360,1304,8.693333333333334e-06,272
1,72,32,2,85.22,0.0045728657180556,20,115240.0,56320,1440,0.47809847198641764,5.866666666666667,4.780984719864176,1.178e-05,1360,1464,9.76e-06,272
1,80,32,2,85.2,0.004356659556167,21,131754.0,64512,1680,0.48030733951784627,5.76,4.803073395178463,1.34314e-05,1360,1705,1.1366666666666667e-05,272
1,88,32,2,85.22,0.0039695081539976,24,162864.0,79872,2112,0.48283199535738464,5.672727272727273,4.828319953573846,1.6542400000000003e-05,1360,2140,1.4266666666666667e-05,272
1,96,32,2,85.02,0.0032955747080793,31,226238.0,111104,2976,0.4855986503378526,5.6,4.855986503378526,2.28798e-05,1360,3011,2.0073333333333333e-05,272
1,12,32,8,85.31,0.0056557754713791,20,83080.0,40960,240,0.47828117702008405,25.6,4.782811770200841,8.564e-06,1600,266,1.7733333333333334e-06,320
1,14,32,8,85.15,0.0053903312898803,20,93320.0,46080,280,0.4806007509386733,24.685714285714287,4.806007509386733,9.588000000000002e-06,1600,306,2.04e-06,320
1,16,32,8,85.18,0.0053148681648932,18,93204.0,46080,288,0.4811829079821227,24.0,4.811829079821227,9.5764e-06,1600,312,2.08e-06,320
1,18,32,8,85.16,0.0048775756706553,20,113800.0,56320,360,0.484015125472671,23.46666666666667,4.84015125472671,1.1636000000000002e-05,1600,386,2.5733333333333334e-06,320
1,20,32,8,85.3,0.0050199217847002,17,105434.0,52224,340,0.4835824212456248,23.04,4.835824212456248,1.07994e-05,1600,363,2.42e-06,320
1,22,32,8,85.19,0.0042759340316784,22,147708.0,73216,484,0.4872361380999281,22.69090909090909,4.872361380999281,1.5026800000000002e-05,1600,512,3.4133333333333334e-06,320
1,24,32,8,85.02,0.0032955747080793,31,224006.0,111104,744,0.49038249340148127,22.4,4.903824934014812,2.2656600000000003e-05,1600,781,5.206666666666667e-06,320
1,6,32,16,85.19,0.0051875956355158,29,120118.0,59392,174,0.4841291837167218,51.2,4.841291837167218,1.22678e-05,1920,210,1.4e-06,384
1,7,32,16,85.27,0.0056402756426425,19,88426.0,43776,133,0.48112896489569823,49.371428571428574,4.811289648956983,9.098599999999998e-06,1920,159,1.06e-06,384
