NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
3,12,16,8,84.89,0.005151984632681215,30,69660.0,37692,360.0,0.5219052893935198,41880000000.0,2609526446.967599,1.4444000000000001e-05
3,14,16,8,85.09,0.005937306683697541,15,36750.0,21342,210.0,0.5429152887306029,40651428571.42857,2714576443.6530147,7.862e-06
3,16,16,8,84.81,0.00598990868152126,13,33514.0,19738,208.0,0.5471530742362921,37957692307.69231,2735765371.1814604,7.2148e-06
3,18,16,8,84.85000000000001,0.005846936960678088,13,35178.0,20570,234.0,0.5450739307859452,35162393162.393166,2725369653.929726,7.5475999999999995e-06
3,20,16,8,84.89,0.005603711817439948,14,39676.0,22812,280.0,0.540107964769391,32588571428.57143,2700539823.8469553,8.4472e-06
3,22,16,8,84.95,0.005493718905289709,14,41468.0,23708,308.0,0.5384755155809939,30789610389.61039,2692377577.9049697,8.8056e-06
3,24,16,8,84.93,0.005660600012599852,12,37080.0,21528,288.0,0.543087790110999,29900000000.0,2715438950.5549946,7.928000000000001e-06
3,6,16,16,85.00999999999999,0.005930469812715605,19,44061.0,24998,114.0,0.5361961347890436,87712280701.7544,2680980673.945218,9.3242e-06
3,7,16,16,85.04,0.005956286353623649,16,39152.0,22560,112.0,0.5408515535097813,80571428571.42857,2704257767.548907,8.3424e-06
3,8,16,16,85.18,0.005979463335403277,14,36050.0,21020,112.0,0.5444185444185444,75071428571.42857,2722092722.092722,7.722e-06
3,9,16,16,85.11,0.005949814440426837,13,35139.0,20570,117.0,0.5456378153266664,70324786324.78633,2728189076.6333323,7.5398e-06
3,10,16,16,84.98,0.005899057448966773,12,33972.0,19992,120.0,0.5472462498631336,66640000000.0,2736231249.315668,7.306400000000001e-06
3,11,16,16,84.89999999999999,0.005766181524174619,12,35508.0,20760,132.0,0.5453399180413996,62909090909.09091,2726699590.206998,7.6136e-06
3,12,16,16,84.93,0.005660600012599852,12,37044.0,21528,144.0,0.5435814564185436,59800000000.0,2717907282.092718,7.920799999999999e-06
3,3,16,32,85.22999999999999,0.005947182844760984,19,44032.5,24998,57.0,0.5365241186886301,175424561403.5088,2682620593.4431505,9.3185e-06
3,4,16,32,85.05,0.005663733232544167,18,46323.0,26148,72.0,0.534909886872737,145266666666.6667,2674549434.363685,9.776599999999999e-06
3,5,16,32,84.93,0.005923577534739422,12,33954.0,19992,60.0,0.5475160212521225,133280000000.0,2737580106.2606125,7.3028e-06
3,6,16,32,84.93,0.005660600012599852,12,37026.0,21528,72.0,0.5438286262820189,119600000000.0,2719143131.4100943,7.917200000000001e-06
3,2,16,64,85.19,0.005799649170994038,16,41164.0,23584,48.0,0.5393834049949684,196533333333.3333,2696917024.974842,8.7448e-06
3,3,16,64,84.93,0.005660600012599852,12,37017.0,21528,36.0,0.5439522955251788,239200000000.0,2719761477.6258936,7.9154e-06
3,1,16,192,84.93,0.005660600012599852,12,37011.0,21528,36.0,0.5440347729397791,239200000000.0,2720173864.6988955,7.914200000000001e-06
4,48,16,2,84.89999999999999,0.005765046273777948,11,31372.0,18582,528.0,0.5476246610868797,14077272727.272728,2738123305.4343987,6.786399999999999e-06
