NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,BRAM Usage,Simulated Ncycles,Simulated Execution Time (s)
12,12,4,16,85.3,0.0053678150976072,29,56811.0,111592,348,1.8795708342456754,48.1,18.795708342456756,5.9370999999999994e-06,352,64,395,2.6333333333333332e-06
12,3,4,32,85.35000000000001,0.0059882978426293,37,44011.5,85544,444,1.8368315386019347,28.9,18.368315386019347,4.65715e-06,512,96,491,3.2733333333333335e-06
12,4,4,32,85.27,0.0056180918150061,37,53483.5,104488,444,1.8644088966606296,35.3,18.644088966606297,5.604349999999999e-06,512,96,492,3.28e-06
12,5,4,32,85.25,0.0054889767984575,32,54448.0,106752,384,1.8725792871175975,41.7,18.725792871175976,5.7008000000000005e-06,512,96,428,2.8533333333333333e-06
12,6,4,32,85.3,0.0053678150976072,29,56767.5,111592,348,1.8809489697020774,48.1,18.809489697020773,5.932750000000001e-06,512,96,390,2.6e-06
12,3,4,64,85.3,0.0053678150976072,29,56745.75,111592,348,1.881638795563668,48.1,18.816387955636678,5.930575e-06,832,160,388,2.5866666666666667e-06
16,48,4,2,85.18,0.0055743736174724,30,40200.0,77040,1440,1.8016838166510758,8.025,8.025,9.6e-06,212,36,1489,9.926666666666666e-06
16,56,4,2,85.22,0.0054921886522447,28,41104.0,79072,1568,1.8109197508244779,7.564285714285715,7.564285714285715,1.0453333333333332e-05,212,36,1615,1.0766666666666666e-05
16,64,4,2,85.28999999999999,0.0057884033121653,21,33516.0,64680,1344,1.792881694201131,7.21875,7.21875,8.96e-06,212,36,1384,9.226666666666666e-06
16,72,4,2,85.24000000000001,0.0053695245841856,26,44824.0,86736,1872,1.8304913050818843,6.95,6.95,1.248e-05,212,36,1917,1.278e-05
16,80,4,2,85.2,0.0052522083847303,27,50004.0,96984,2160,1.8450650635415875,6.735,6.735,1.44e-05,212,36,2206,1.4706666666666666e-05
16,88,4,2,85.34,0.0056870237668154,20,39600.0,76960,1760,1.825426944971537,6.559090909090909,6.559090909090909,1.1733333333333333e-05,212,36,1799,1.1993333333333333e-05
16,96,4,2,85.55,0.005673088727819,20,42160.0,82080,1920,1.8354203935599285,6.4125,6.4125,1.28e-05,212,36,1959,1.306e-05
16,14,4,8,85.50999999999999,0.0059446614377939,26,37700.0,73424,416,1.82374565325385,26.475,18.237456532538502,4.025999999999999e-06,272,48,461,3.0733333333333333e-06
16,16,4,8,85.52,0.005783032229632,26,41028.0,80080,416,1.837202899880701,28.875,18.37202899880701,4.3588000000000005e-06,272,48,463,3.0866666666666666e-06
16,18,4,8,85.26,0.0055081054202901,28,47768.0,93408,504,1.8559847401049119,27.8,18.55984740104912,5.0328e-06,272,48,553,3.686666666666667e-06
16,20,4,8,85.15,0.0052995957742863,29,53186.0,104168,580,1.8686183762063646,26.94,18.686183762063646,5.5746e-06,272,48,630,4.2e-06
16,22,4,8,85.19,0.0051648096885759,29,56898.0,111592,638,1.8768206128695886,26.236363636363635,18.768206128695887,5.9458e-06,272,48,688,4.586666666666667e-06
16,24,4,8,85.55,0.005673088727819,20,41800.0,82080,480,1.8503155996393148,25.65,18.503155996393147,4.436e-06,272,48,521,3.4733333333333333e-06
16,7,4,16,85.15,0.0058791429865372,30,43410.0,84720,480,1.8429410485098978,26.475,18.429410485098977,4.597e-06,352,64,523,3.4866666666666666e-06
16,8,4,16,85.54,0.0058051739080438,27,42525.0,83160,432,1.8445159143839414,28.875,18.445159143839412,4.508500000000001e-06,352,64,473,3.1533333333333334e-06
16,9,4,16,85.17,0.0059310921938434,22,37466.0,73392,352,1.8336081546994454,31.275,18.336081546994453,4.0026e-06,352,64,389,2.593333333333333e-06
16,10,4,16,85.38,0.0059178576128542,20,36620.0,71840,320,1.833588565594691,33.675,18.33588565594691,3.9180000000000004e-06,352,64,356,2.373333333333333e-06
16,11,4,16,85.52,0.0057747682654554,20,39180.0,76960,320,1.843794920939147,36.075,18.43794920939147,4.174e-06,352,64,357,2.38e-06
16,12,4,16,85.55,0.005673088727819,20,41740.0,82080,320,1.852821670428894,38.475,18.52821670428894,4.43e-06,352,64,358,2.3866666666666665e-06
16,3,4,32,85.24000000000001,0.0059955050020022,31,40842.5,79608,496,1.834180058752376,24.075,18.34180058752376,4.34025e-06,512,96,537,3.58e-06
16,4,4,32,85.42,0.0059910866870133,24,37764.0,73920,384,1.833151473068148,28.875,18.33151473068148,4.0324e-06,512,96,419,2.7933333333333334e-06
16,5,4,32,85.44,0.0057412496865988,23,42078.5,82616,368,1.850779036033917,33.675,18.50779036033917,4.4638500000000005e-06,512,96,403,2.6866666666666666e-06
16,6,4,32,85.55,0.005673088727819,20,41710.0,82080,320,1.854077253218884,38.475,18.54077253218884,4.427000000000001e-06,512,96,353,2.3533333333333334e-06
16,2,4,64,85.36,0.0059690431903226,25,39318.75,77000,400,1.8386413157030714,28.875,18.386413157030713,4.187875e-06,832,160,435,2.9e-06
16,3,4,64,85.55,0.005673088727819,20,41695.0,82080,320,1.8547056829736752,38.475,18.547056829736754,4.4255e-06,832,160,351,2.34e-06
