NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage
12,72,4,2,85.35000000000001,0.0058172224462656,10,38638.0,33872,720.0,0.8221758337783388,18.817777777777778,8.221758337783388,4.119799999999999e-06,360
12,80,4,2,85.21,0.0059827103711437,9,36666.0,33096,720.0,0.8437261000356906,18.386666666666667,8.437261000356905,3.9226e-06,360
12,88,4,2,85.65,0.0059890931102022,9,38508.0,35400,792.0,0.8619850004869972,17.87878787878788,8.619850004869972,4.106799999999999e-06,360
12,96,4,2,85.56,0.0059365050605759,9,42170.0,37704,864.0,0.8429242119382965,17.455555555555556,8.429242119382964,4.473e-06,360
12,12,4,8,85.31,0.0054382928318328,18,59838.0,44688,216.0,0.7161768005384788,82.75555555555555,7.161768005384788,6.2398e-06,648
12,14,4,8,85.17,0.0059960026927546,12,39729.0,33888,168.0,0.8013431388777223,80.68571428571428,8.013431388777224,4.2288999999999994e-06,648
12,16,4,8,85.22,0.0059464531718464,11,40765.0,34136,176.0,0.7879053664166186,77.58181818181819,7.879053664166186,4.3325e-06,648
12,18,4,8,85.39999999999999,0.0057996373893998,11,43640.0,36952,198.0,0.7998268398268398,74.65050505050505,7.998268398268397,4.620000000000001e-06,648
12,20,4,8,85.45,0.0058058108180773,10,43844.0,36432,200.0,0.7851047323506595,72.864,7.851047323506595,4.6404e-06,648
12,22,4,8,85.3,0.0057853472570652,10,44469.0,38992,220.0,0.8291054455761339,70.89454545454545,8.291054455761339,4.7028999999999995e-06,648
12,24,4,8,85.56,0.0059365050605759,9,41783.0,37704,216.0,0.8502807658480481,69.82222222222222,8.502807658480481,4.4343e-06,648
12,6,4,16,85.17,0.0056902553651001,18,53310.5,44688,216.0,0.7998496523209923,82.75555555555555,7.998496523209923,5.58705e-06,1032
12,7,4,16,85.42999999999999,0.0059624089944749,13,42887.0,36456,156.0,0.8021651594164632,93.47692307692309,8.02165159416463,4.544700000000001e-06,1032
