NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
32,5,2,32,85.68,0.005642626017515689,7,50666.0,28216,224.0,0.5301168601811145,50385714285.71429,2650584300.9055724,1.0645200000000001e-05
32,6,2,32,85.76,0.00531443451849288,7,57834.0,31800,224.0,0.5265423717587839,56785714285.71429,2632711858.7939196,1.2078800000000002e-05
32,2,2,64,85.39,0.005392060801286458,10,62110.0,33872,320.0,0.5237668161434977,42340000000.0,2618834080.717489,1.2934e-05
32,3,2,64,85.76,0.00531443451849288,7,57813.0,31800,224.0,0.5267255229986915,56785714285.71429,2633627614.9934573,1.20746e-05
32,1,2,192,85.76,0.00531443451849288,7,57799.0,31800,224.0,0.5268476946271475,56785714285.71429,2634238473.135738,1.20718e-05
8,48,4,2,85.00999999999999,0.005944496745976267,11,46640.0,25688,528.0,0.5221138211382114,19460606060.60606,2610569105.6910567,9.84e-06
8,56,4,2,85.38,0.005931645822711424,10,47520.0,26192,560.0,0.5230031948881789,18708571428.57143,2615015974.4408946,1.0016e-05
8,64,4,2,85.0,0.005999360210451422,9,47376.0,26184,576.0,0.5243511694969561,18183333333.333336,2621755847.484781,9.987199999999998e-06
8,72,4,2,84.89999999999999,0.005913834600147544,9,51984.0,28488,648.0,0.5222939278380757,17585185185.185184,2611469639.1903787,1.09088e-05
8,80,4,2,85.37,0.005847233454762483,9,56592.0,30792,720.0,0.5205572085474709,17106666666.666666,2602786042.7373543,1.1830400000000001e-05
8,88,4,2,85.31,0.005802752575542306,9,61200.0,33096,792.0,0.5190715181932246,16715151515.151516,2595357590.966123,1.2752e-05
8,96,4,2,85.00999999999999,0.005784737711777994,9,65808.0,35400,864.0,0.5177860987596536,16388888888.88889,2588930493.7982683,1.3673599999999999e-05
8,12,4,8,85.27,0.005995192403664779,14,58352.0,31856,168.0,0.5229839768846861,75847619047.61905,2614919884.4234304,1.21824e-05
8,14,4,8,85.32,0.005883842140727248,13,60840.0,33128,182.0,0.5225236593059936,72808791208.7912,2612618296.5299683,1.268e-05
8,16,4,8,85.22,0.005931398468511148,11,57112.0,31320,176.0,0.524869285427001,71181818181.81819,2624346427.135005,1.1934399999999999e-05
8,18,4,8,85.17,0.0059527033591168215,10,57040.0,31312,180.0,0.5253691275167786,69582222222.22221,2626845637.583893,1.192e-05
8,20,4,8,85.02,0.0059986711083160425,9,55944.0,30792,180.0,0.5263229864624641,68426666666.666664,2631614932.3123207,1.17008e-05
8,22,4,8,85.15,0.005860861534439377,9,60552.0,33096,198.0,0.5244010647737356,66860606060.606064,2622005323.868678,1.26224e-05
8,24,4,8,85.00999999999999,0.005784737711777994,9,65160.0,35400,216.0,0.522740696987596,65555555555.55556,2613703484.9379797,1.3544000000000001e-05
8,6,4,16,84.94,0.005903646898995538,16,66496.0,35968,128.0,0.5208526413345691,112400000000.0,2604263206.6728454,1.38112e-05
8,7,4,16,84.91,0.005887108378619946,14,65352.0,35440,112.0,0.5218518082224055,126571428571.42857,2609259041.1120276,1.3582399999999999e-05
8,8,4,16,85.11,0.005904700134970487,12,62160.0,33888,112.0,0.5236093943139679,121028571428.57143,2618046971.5698395,1.2943999999999998e-05
8,9,4,16,85.39,0.005861843929251775,11,62612.0,34136,112.0,0.5237832197876389,121914285714.2857,2618916098.9381943,1.30344e-05
8,10,4,16,84.86,0.005838102513165045,10,62040.0,33872,112.0,0.5243343653250774,120971428571.42857,2621671826.6253867,1.2920000000000002e-05
8,11,4,16,85.07000000000001,0.005909109977899913,9,60444.0,33096,112.0,0.5252999809535902,118200000000.0,2626499904.767951,1.2600800000000001e-05
8,12,4,16,85.00999999999999,0.005784737711777994,9,65052.0,35400,112.0,0.5235756966219014,126428571428.57143,2617878483.109507,1.3522400000000001e-05
8,3,4,32,85.09,0.005773855179816614,18,74700.0,40080,144.0,0.5187677970489257,111333333333.33333,2593838985.2446284,1.5452e-05
8,4,4,32,85.06,0.005972907132164236,12,62088.0,33888,112.0,0.5241925504269274,121028571428.57143,2620962752.134637,1.2929599999999999e-05
8,5,4,32,85.28999999999999,0.005902381453002977,10,61980.0,33872,112.0,0.5248218159281066,120971428571.42857,2624109079.640533,1.2908e-05
8,6,4,32,85.00999999999999,0.005784737711777994,9,64998.0,35400,112.0,0.5239941975783771,126428571428.57143,2619970987.8918853,1.3511600000000001e-05
8,2,4,64,84.81,0.00598272390474461,12,62052.0,33888,112.0,0.5244846158608308,121028571428.57143,2622423079.3041544,1.2922399999999998e-05
8,3,4,64,85.00999999999999,0.005784737711777994,9,64971.0,35400,112.0,0.5242036990419214,126428571428.57143,2621018495.209607,1.3506200000000001e-05
8,1,4,192,85.00999999999999,0.005784737711777994,9,64953.0,35400,112.0,0.5243434597781168,126428571428.57143,2621717298.890584,1.35026e-05
12,48,4,2,85.17,0.005376994997400164,11,52272.0,28504,528.0,0.5198424277793989,21593939393.939392,2599212138.8969946,1.0966399999999999e-05
12,56,4,2,85.05,0.0057719477594070975,8,42112.0,23616,448.0,0.5286532951289399,21085714285.714287,2643266475.6446996,8.934399999999999e-06
12,64,4,2,85.07000000000001,0.0058846602615205326,7,40432.0,22840,448.0,0.5312616300707108,20392857142.857143,2656308150.3535542,8.598399999999999e-06
12,72,4,2,85.14,0.005777665848111075,7,44016.0,24632,504.0,0.5288560632085194,19549206349.20635,2644280316.0425973,9.315199999999998e-06
12,80,4,2,85.08,0.005709689242786727,7,47600.0,26424,560.0,0.5267942583732057,18874285714.285713,2633971291.8660283,1.0032000000000002e-05
12,88,4,2,85.15,0.005669258958434013,7,51184.0,28216,616.0,0.5250074426912772,18322077922.07792,2625037213.456386,1.07488e-05
12,96,4,2,84.93,0.005656263928769797,7,54768.0,30008,672.0,0.5234440413061681,17861904761.904762,2617220206.5308404,1.1465599999999999e-05
12,12,4,8,85.32,0.005976501875059544,10,46800.0,26192,120.0,0.5306320907617504,87306666666.66667,2653160453.808752,9.872e-06
12,14,4,8,85.11,0.005927875719391346,9,46728.0,26184,126.0,0.5312449277714657,83123809523.80952,2656224638.8573284,9.8576e-06
12,16,4,8,85.19,0.005937795772962053,8,45632.0,25664,128.0,0.5325365205843293,80200000000.0,2662682602.9216466,9.6384e-06
12,18,4,8,85.08,0.005755647691657352,8,49728.0,27712,144.0,0.5299877600979193,76977777777.77779,2649938800.4895964,1.04576e-05
12,20,4,8,85.22,0.005858069104798391,7,47096.0,26424,140.0,0.5321411309811503,75497142857.14285,2660705654.9057517,9.931199999999999e-06
12,22,4,8,85.06,0.005736357296776443,7,50680.0,28216,154.0,0.529977460555973,73288311688.31168,2649887302.779865,1.0648e-05
12,24,4,8,84.93,0.005656263928769797,7,54264.0,30008,168.0,0.5280867239194706,71447619047.61905,2640433619.5973535,1.1364799999999998e-05
12,6,4,16,85.27,0.005933588963994617,11,51348.0,28504,132.0,0.5287526897677525,86375757575.75757,2643763448.8387623,1.07816e-05
12,7,4,16,84.81,0.005847877273535477,10,51800.0,28752,120.0,0.5289183222958057,95840000000.0,2644591611.4790287,1.0872e-05
12,8,4,16,84.97,0.00582027192995151,9,51228.0,28488,112.0,0.5296348627946754,101742857142.85715,2648174313.973377,1.0757599999999998e-05
12,9,4,16,84.91,0.00583208764562031,8,49632.0,27712,112.0,0.5309625996321276,98971428571.42857,2654812998.160638,1.04384e-05
12,10,4,16,85.15,0.005910732213022756,7,47012.0,26424,112.0,0.533042846768337,94371428571.42857,2665214233.8416853,9.914399999999998e-06
12,11,4,16,85.1,0.005768808549897822,7,50596.0,28216,112.0,0.5308149597411392,100771428571.42857,2654074798.705696,1.06312e-05
12,12,4,16,84.93,0.005656263928769797,7,54180.0,30008,112.0,0.5288685230877688,107171428571.42857,2644342615.4388437,1.1348e-05
12,3,4,32,84.91,0.005750499035210069,13,60606.0,33128,156.0,0.5244593610486654,84943589743.58975,2622296805.243327,1.26332e-05
12,4,4,32,84.84,0.005872510662236751,9,51174.0,28488,112.0,0.5301671195146462,101742857142.85715,2650835597.573231,1.07468e-05
