NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
12,16,4,8,85.37,0.005916256089826,18,38862.0,50832,288,1.2271739655255662,26.475,12.271739655255661,4.1422e-06,480,323,2.153333333333333e-06,96
12,18,4,8,85.55,0.0059957602289339,16,36843.0,49280,288,1.2506661929294725,25.666666666666668,12.506661929294724,3.940299999999999e-06,480,321,2.14e-06,96
12,20,4,8,85.17,0.0054444387606878,20,51697.0,66720,400,1.22970307978694,25.02,12.2970307978694,5.4256999999999996e-06,480,437,2.9133333333333335e-06,96
12,22,4,8,85.48,0.0055920464329877,17,47396.0,61064,374,1.2223556729922331,24.490909090909092,12.22355672992233,4.9956e-06,480,408,2.72e-06,96
12,24,4,8,85.38,0.0050850048994111,22,65359.0,84656,528,1.2464258896626865,24.05,12.464258896626866,6.7918999999999984e-06,480,567,3.78e-06,96
12,6,4,16,85.39999999999999,0.005977890577626,22,41269.0,50864,264,1.1605101645029547,28.9,11.605101645029547,4.3829e-06,800,298,1.9866666666666666e-06,160
12,7,4,16,85.18,0.00589691685204,21,42499.5,53928,252,1.1968175412510125,32.1,11.968175412510124,4.5059500000000005e-06,800,286,1.9066666666666667e-06,160
12,8,4,16,85.55,0.0058327610742799,21,43122.0,59304,252,1.2981918479926449,35.3,12.981918479926449,4.5682e-06,800,287,1.9133333333333334e-06,160
12,9,4,16,85.28999999999999,0.0059592500478991,17,39119.0,52360,204,1.2562681446291897,38.5,12.562681446291897,4.1679e-06,800,236,1.5733333333333332e-06,160
12,10,4,16,85.41,0.0058680482906525,17,40648.0,56712,204,1.3125347157933716,41.7,13.125347157933716,4.3208e-06,800,237,1.58e-06,160
12,11,4,16,85.22,0.0056803981895376,17,45519.0,61064,204,1.2700763327024271,44.9,12.700763327024271,4.8079e-06,800,238,1.5866666666666666e-06,160
12,12,4,16,85.38,0.0050850048994111,22,65258.5,84656,264,1.2482729638667915,48.1,12.482729638667916,6.781849999999999e-06,800,304,2.0266666666666666e-06,160
12,3,4,32,85.22,0.0057179298584604,25,50572.5,57800,300,1.087846421681645,28.9,10.87846421681645,5.31325e-06,1440,335,2.2333333333333333e-06,288
12,4,4,32,85.36,0.0057600451616674,21,45904.0,59304,252,1.2236711786068009,35.3,12.236711786068009,4.846400000000001e-06,1440,284,1.8933333333333333e-06,288
12,5,4,32,85.22999999999999,0.0057829590049424,17,43951.0,56712,204,1.2193244608802218,41.7,12.193244608802217,4.6511e-06,1440,233,1.5533333333333334e-06,288
12,6,4,32,85.38,0.0050850048994111,22,65208.25,84656,264,1.2491985553706935,48.1,12.491985553706934,6.776825000000001e-06,1440,299,1.9933333333333334e-06,288
16,48,4,2,85.45,0.0059401061311226,15,29910.0,38520,720,1.1863258392362181,8.025,8.025,4.8e-06,240,754,5.026666666666666e-06,48
16,56,4,2,85.56,0.005965087125362,14,29168.0,39536,784,1.2460917801311144,7.564285714285715,7.564285714285715,5.226666666666666e-06,240,817,5.4466666666666665e-06,48
16,64,4,2,85.65,0.0057064120953471,16,34920.0,49280,1024,1.3148345784418356,7.21875,7.21875,6.826666666666667e-06,240,1059,7.06e-06,48
16,72,4,2,85.17,0.005613902272795,15,37704.0,50040,1080,1.2427975362606796,6.95,6.95,7.2e-06,240,1114,7.426666666666667e-06,48
16,80,4,2,85.26,0.0055483237989932,15,40520.0,53880,1200,1.2506963788300836,6.735,6.735,8e-06,240,1234,8.226666666666667e-06,48
16,88,4,2,85.39999999999999,0.0055459065406478,15,42362.0,57720,1320,1.2848938159476426,6.559090909090909,6.559090909090909,8.8e-06,240,1354,9.026666666666666e-06,48
16,96,4,2,85.3,0.0056857178437822,13,40898.0,53352,1248,1.2276680933314925,6.4125,6.4125,8.32e-06,240,1280,8.533333333333334e-06,48
16,12,4,8,85.21,0.0058390416338734,20,41275.0,51360,320,1.1716664765598266,24.075,11.716664765598265,4.3835e-06,480,357,2.38e-06,96
16,14,4,8,85.16,0.0052492622851733,24,56779.0,67776,384,1.1421830499334333,26.475,11.421830499334334,5.9339e-06,480,427,2.846666666666667e-06,96
16,16,4,8,85.15,0.0057682099249393,16,39162.0,49280,256,1.181151430899765,28.875,11.811514308997651,4.1722e-06,480,293,1.9533333333333334e-06,96
16,20,4,8,85.28,0.005902330608421,13,34654.0,46696,260,1.2547965819315312,26.94,12.547965819315312,3.7213999999999996e-06,480,294,1.96e-06,96
16,22,4,8,85.37,0.0058010698362566,13,37086.0,50024,286,1.2617666347172476,26.236363636363635,12.617666347172475,3.9646e-06,480,320,2.1333333333333334e-06,96
16,24,4,8,85.3,0.0056857178437822,13,40547.0,53352,312,1.2376644164520842,25.65,12.376644164520842,4.310700000000001e-06,480,346,2.3066666666666665e-06,96
