NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,18,2,8,82.07070707070707,0.0049059899867058,30,49170.0,24030,3840,0.47152780503119973,0.938671875,0.938671875,2.56e-05,50,3797,2.5313333333333334e-05
32,20,2,8,82.32323232323232,0.0047349792306639,29,49387.0,24157,3712,0.47201000410324545,0.976171875,0.976171875,2.4746666666666668e-05,50,3670,2.4466666666666667e-05
40,14,2,8,81.56565656565657,0.0049995385941856,30,53010.0,25950,4800,0.4735228641290464,0.8109375,0.8109375,3.2e-05,50,4729,3.1526666666666664e-05
40,16,2,8,81.56565656565657,0.0039861250188044,44,80564.0,39468,7040,0.47923648550196707,0.8409375,0.8409375,4.6933333333333333e-05,50,6985,4.656666666666667e-05
40,18,2,8,81.56565656565657,0.0051311707108284,22,41690.0,20438,3520,0.4700335771123683,0.8709375,0.8709375,2.3466666666666663e-05,50,3445,2.2966666666666668e-05
40,20,2,8,81.81818181818183,0.00482611860123,23,45057.0,22103,3680,0.4717923541591069,0.9009375,0.9009375,2.4533333333333334e-05,50,3608,2.4053333333333332e-05
48,14,2,8,81.81818181818183,0.0055188033790509,20,40460.0,19860,3840,0.47003692132916786,0.77578125,0.77578125,2.56e-05,50,3735,2.49e-05
48,16,2,8,81.81818181818183,0.0051727633814198,21,43827.0,21525,4032,0.4718428724873408,0.80078125,0.80078125,2.688e-05,50,3930,2.62e-05
48,18,2,8,81.56565656565657,0.0056111271510025,15,32265.0,15855,2880,0.46554306016384295,0.82578125,0.82578125,1.92e-05,50,2774,1.8493333333333335e-05
48,20,2,8,82.07070707070707,0.0051173384283116,17,37655.0,18513,3264,0.4693132557608944,0.85078125,0.85078125,2.176e-05,50,3162,2.108e-05
56,14,2,8,81.81818181818183,0.0054734318520784,19,43301.0,21299,4256,0.47233495220987737,0.7506696428571429,0.7506696428571429,2.837333333333333e-05,50,4126,2.7506666666666665e-05
56,16,2,8,81.81818181818183,0.0048062616838255,23,53889.0,26519,5152,0.47626659003969035,0.7720982142857143,0.7720982142857143,3.434666666666667e-05,50,5028,3.352e-05
56,18,2,8,81.81818181818183,0.0054543549143416,15,36105.0,17775,3360,0.46903448821806476,0.7935267857142857,0.7935267857142857,2.24e-05,50,3230,2.1533333333333333e-05
56,20,2,8,82.82828282828282,0.0052148497966634,15,37065.0,18255,3360,0.46979952132176955,0.8149553571428572,0.8149553571428572,2.24e-05,50,3232,2.1546666666666668e-05
64,14,2,8,82.07070707070707,0.0040561946728633,36,91260.0,44964,9216,0.48321368697072603,0.7318359375,0.7318359375,6.144e-05,50,9079,6.0526666666666664e-05
64,16,2,8,81.56565656565657,0.0052714551737817,18,46782.0,23058,4608,0.4746983983200889,0.7505859375,0.7505859375,3.072e-05,50,4455,2.97e-05
64,18,2,8,82.82828282828282,0.0054029927756898,15,39945.0,19695,3840,0.4718834607183075,0.7693359375,0.7693359375,2.56e-05,50,3686,2.4573333333333334e-05
64,20,2,8,81.81818181818183,0.0051603534303713,15,40905.0,20175,3840,0.4725156334168677,0.7880859375,0.7880859375,2.56e-05,50,3688,2.4586666666666666e-05
16,14,4,8,82.07070707070707,0.0056560913106222,33,49335.0,24321,2112,0.4756977722142899,1.72734375,1.72734375,1.408e-05,60,2116,1.4106666666666667e-05
16,16,4,8,81.81818181818183,0.0050353369190312,39,60801.0,29991,2496,0.47914303516367646,1.80234375,1.80234375,1.664e-05,60,2508,1.672e-05
16,18,4,8,82.07070707070707,0.0047090039951509,40,64920.0,32040,2560,0.48027341407842666,1.87734375,1.87734375,1.7066666666666664e-05,60,2575,1.7166666666666666e-05
16,20,4,8,81.56565656565657,0.0044767792858601,40,67480.0,33320,2560,0.48100242522231207,1.95234375,1.95234375,1.7066666666666667e-05,60,2577,1.718e-05
20,14,4,8,81.56565656565657,0.0051113950184869,34,59534.0,29410,2720,0.4795682092424094,1.621875,1.621875,1.813333333333333e-05,60,2713,1.8086666666666667e-05
20,16,4,8,81.56565656565657,0.0047691775194871,36,65340.0,32292,2880,0.4810224632068164,1.681875,1.681875,1.92e-05,60,2877,1.918e-05
20,18,4,8,81.81818181818183,0.0055867950513004,21,39459.0,19509,1680,0.4729339894790429,1.741875,1.741875,1.12e-05,60,1664,1.1093333333333333e-05
20,20,4,8,81.81818181818183,0.0043786312778054,34,66062.0,32674,2720,0.48153388156925164,1.801875,1.801875,1.8133333333333335e-05,60,2719,1.8126666666666667e-05
24,14,4,8,81.56565656565657,0.004444702911828,39,78273.0,38727,3744,0.4836944982201961,1.5515625,1.5515625,2.496e-05,60,3730,2.4866666666666667e-05
24,16,4,8,81.81818181818183,0.0043239875768274,37,76627.0,37925,3552,0.48362004106147743,1.6015625,1.6015625,2.368e-05,60,3538,2.3586666666666666e-05
24,18,4,8,81.81818181818183,0.0042423589865717,34,72590.0,35938,3264,0.4831545266327875,1.6515625,1.6515625,2.176e-05,60,3249,2.166e-05
24,20,4,8,81.81818181818183,0.0040227703599569,34,74766.0,37026,3264,0.48363332375453905,1.7015625,1.7015625,2.176e-05,60,3251,2.1673333333333335e-05
28,14,4,8,82.32323232323232,0.00582015181292,17,38471.0,19057,1904,0.4733129672403944,1.5013392857142858,1.5013392857142858,1.2693333333333333e-05,60,1856,1.2373333333333334e-05
28,16,4,8,81.56565656565657,0.0054452623360973,18,41886.0,20754,2016,0.47515911900728053,1.5441964285714287,1.5441964285714287,1.3439999999999998e-05,60,1971,1.314e-05
28,18,4,8,81.81818181818183,0.0055519189339935,15,35865.0,17775,1680,0.4720237937169716,1.5870535714285714,1.5870535714285714,1.12e-05,60,1634,1.0893333333333333e-05
28,20,4,8,82.57575757575758,0.0053177532663652,15,36825.0,18255,1680,0.4727192687158505,1.6299107142857143,1.6299107142857143,1.12e-05,60,1636,1.0906666666666667e-05
32,14,4,8,82.07070707070707,0.0040561946728633,36,90684.0,44964,4608,0.48622345257147803,1.463671875,1.463671875,3.072e-05,60,4567,3.0446666666666668e-05
32,16,4,8,81.56565656565657,0.0052714551737817,18,46494.0,23058,2304,0.4775297187590606,1.501171875,1.501171875,1.536e-05,60,2247,1.498e-05
32,18,4,8,82.82828282828282,0.0054029927756898,15,39705.0,19695,1920,0.47461262259922404,1.538671875,1.538671875,1.28e-05,60,1862,1.2413333333333334e-05
32,20,4,8,81.81818181818183,0.0051603534303713,15,40665.0,20175,1920,0.47518665944367244,1.576171875,1.576171875,1.28e-05,60,1864,1.2426666666666667e-05
8,18,8,8,82.07070707070707,0.0049230038847976,40,64600.0,32040,1280,0.4825882636462224,3.7546875,3.7546875,8.533333333333332e-06,80,1319,8.793333333333333e-06
8,20,8,8,82.57575757575758,0.0044961210060072,45,75555.0,37485,1440,0.48463418102835276,3.9046875,3.9046875,9.6e-06,80,1486,9.906666666666666e-06
10,14,8,8,81.56565656565657,0.0049392775361795,41,71463.0,35465,1640,0.4841307760562419,3.24375,3.24375,1.0933333333333334e-05,80,1670,1.1133333333333334e-05
10,16,8,8,81.56565656565657,0.0050141805323485,35,63245.0,31395,1400,0.4827252179528576,3.36375,3.36375,9.333333333333334e-06,80,1426,9.506666666666667e-06
10,18,8,8,81.81818181818183,0.0049362213099725,32,59872.0,29728,1280,0.4820965230928905,3.48375,3.48375,8.533333333333332e-06,80,1305,8.7e-06
10,20,8,8,82.57575757575758,0.0052172131640331,25,48375.0,24025,1000,0.47890047242211015,3.60375,3.60375,6.666666666666667e-06,80,1020,6.8e-06
12,14,8,8,81.81818181818183,0.0044891391722574,42,83958.0,41706,2016,0.48636734693877554,3.103125,3.103125,1.344e-05,80,2041,1.3606666666666666e-05
12,16,8,8,81.56565656565657,0.0047864790076337,32,66016.0,32800,1536,0.4837187352524776,3.203125,3.203125,1.024e-05,80,1553,1.0353333333333333e-05
12,18,8,8,81.81818181818183,0.0045598270185818,32,68064.0,33824,1536,0.4841960604672469,3.303125,3.303125,1.024e-05,80,1555,1.0366666666666667e-05
12,20,8,8,81.81818181818183,0.0047279641355158,26,56966.0,28314,1248,0.4818748085367099,3.403125,3.403125,8.32e-06,80,1263,8.42e-06
14,14,8,8,82.07070707070707,0.0039529397905542,44,99220.0,49324,2464,0.4882984199897042,3.0026785714285715,3.0026785714285715,1.6426666666666666e-05,80,2485,1.6566666666666665e-05
14,16,8,8,81.56565656565657,0.0044492029595733,31,71889.0,35743,1736,0.48510470813371154,3.0883928571428574,3.0883928571428574,1.1573333333333332e-05,80,1746,1.164e-05
14,18,8,8,81.56565656565657,0.003970439839039,35,83405.0,41475,1960,0.4868129159477446,3.174107142857143,3.174107142857143,1.3066666666666666e-05,80,1976,1.3173333333333333e-05
14,20,8,8,81.56565656565657,0.0052786303596323,16,39152.0,19472,896,0.47557639703008986,3.2598214285714286,3.2598214285714286,5.973333333333333e-06,80,895,5.9666666666666666e-06
16,14,8,8,82.07070707070707,0.0040561946728633,36,90396.0,44964,2304,0.48774243936304074,2.92734375,2.92734375,1.536e-05,80,2311,1.5406666666666666e-05
16,16,8,8,81.56565656565657,0.0052714551737817,18,46350.0,23058,1152,0.4789580823397449,3.00234375,3.00234375,7.68e-06,80,1143,7.62e-06
16,18,8,8,82.82828282828282,0.0054029927756898,15,39585.0,19695,960,0.4759890760567465,3.07734375,3.07734375,6.4e-06,80,950,6.333333333333333e-06
16,20,8,8,81.81818181818183,0.0051603534303713,15,40545.0,20175,960,0.4765335285920117,3.15234375,3.15234375,6.4e-06,80,952,6.346666666666666e-06
4,18,16,8,81.81818181818183,0.004838467682445,46,74106.0,36846,828,0.48546733774276,6.675,4.8546733774276,7.589800000000001e-06,120,883,5.8866666666666665e-06
4,20,16,8,81.56565656565657,0.0052059044986031,34,56950.0,28322,680,0.48214224915733206,6.2475,4.821422491573321,5.8742e-06,120,723,4.82e-06
5,14,16,8,81.56565656565657,0.005597676126806,34,59126.0,29410,680,0.4827801306674546,6.4875,4.827801306674546,6.0918e-06,120,718,4.786666666666667e-06
