NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
48,16,2,8,82.82828282828282,0.0049566821137113,25,61169.0,44900,1200,0.7131398802433252,5.6125,5.6125,8e-06,200,1246,8.306666666666666e-06
48,18,2,8,82.32323232323232,0.0059296126040581,16,36183.0,30784,768,0.8106385780118499,6.0125,6.0125,5.12e-06,200,807,5.38e-06
48,20,2,8,83.83838383838383,0.0054194371520306,18,44793.0,36936,864,0.7928732424600193,6.4125,6.4125,5.76e-06,200,907,6.046666666666667e-06
56,14,2,8,81.56565656565657,0.0056203821492885,21,49314.0,37716,1176,0.7379955386843032,4.810714285714285,4.810714285714285,7.840000000000001e-06,200,1216,8.106666666666666e-06
56,16,2,8,82.32323232323232,0.0048105354774638,24,65441.0,46176,1344,0.6868055865423229,5.1535714285714285,5.1535714285714285,8.96e-06,200,1389,9.26e-06
56,18,2,8,81.81818181818183,0.0054077254407245,18,46863.0,36936,1008,0.759140889939369,5.496428571428572,5.496428571428572,6.719999999999999e-06,200,1049,6.993333333333333e-06
56,20,2,8,82.07070707070707,0.0057090715599723,16,38721.0,34880,896,0.8609582109446351,5.839285714285714,5.839285714285714,5.973333333333333e-06,200,937,6.2466666666666664e-06
64,14,2,8,81.56565656565657,0.0059622365958035,19,43999.0,36556,1216,0.798322814526872,4.509375,4.509375,8.106666666666666e-06,200,1254,8.36e-06
64,16,2,8,82.57575757575758,0.0056978324557212,18,44793.0,36936,1152,0.7928732424600193,4.809375,4.809375,7.68e-06,200,1191,7.94e-06
64,18,2,8,82.32323232323232,0.0055178412361973,17,46430.0,37060,1088,0.7685288872298951,5.109375,5.109375,7.253333333333333e-06,200,1128,7.52e-06
64,20,2,8,81.81818181818183,0.0055071048933459,16,43287.0,36928,1024,0.8191840990261541,5.409375,5.409375,6.826666666666667e-06,200,1065,7.1e-06
16,14,4,8,82.07070707070707,0.0055370472907146,34,65245.0,48008,544,0.7161418321225592,13.2375,7.161418321225592,6.7037e-06,240,597,3.98e-06
16,16,4,8,81.81818181818183,0.0052449258055796,33,69503.0,50820,528,0.7128129602356407,14.4375,7.128129602356407,7.1295e-06,240,582,3.88e-06
16,18,4,8,82.32323232323232,0.0052928769859325,29,65067.0,48372,522,0.7234927234927235,13.9,7.234927234927236,6.6859e-06,240,572,3.8133333333333334e-06
16,20,4,8,82.32323232323232,0.005334524231578,25,62707.0,44900,500,0.6961348237957178,13.47,6.961348237957178,6.4499e-06,240,546,3.64e-06
20,14,4,8,81.81818181818183,0.0056982104170525,26,55441.0,40040,520,0.6995963866999808,11.55,6.9959638669998085,5.723299999999999e-06,240,565,3.7666666666666665e-06
20,16,4,8,83.33333333333334,0.0059866718131782,22,43980.0,36696,440,0.8017128375426025,12.51,8.017128375426024,4.577200000000001e-06,240,483,3.22e-06
20,18,4,8,81.56565656565657,0.0052428378603336,25,60901.0,44900,500,0.7161884101893353,13.47,7.161884101893353,6.2693e-06,240,548,3.6533333333333332e-06
20,20,4,8,82.32323232323232,0.0052094211366404,23,58388.0,44252,460,0.7353273512794949,14.43,7.353273512794949,6.017999999999999e-06,240,508,3.3866666666666667e-06
24,14,4,8,81.56565656565657,0.005950899869299,21,43964.0,35028,504,0.7655389457120377,10.425,7.6553894571203775,4.575600000000001e-06,240,544,3.6266666666666665e-06
24,16,4,8,81.56565656565657,0.0054314985452389,23,52742.0,41308,552,0.7574724025378663,11.225,7.5747240253786625,5.4534e-06,240,596,3.973333333333333e-06
24,18,4,8,82.32323232323232,0.0054996208239795,21,49653.0,40404,504,0.7853824472737876,12.025,7.853824472737876,5.1445e-06,240,548,3.6533333333333332e-06
24,20,4,8,81.56565656565657,0.0050441474906467,22,58088.0,45144,528,0.7539078156312625,12.825,7.539078156312625,5.988e-06,240,575,3.833333333333334e-06
28,14,4,8,81.56565656565657,0.0053056304656098,24,58176.0,43104,672,0.7187833511205977,9.62142857142857,7.187833511205977,5.9968e-06,240,715,4.766666666666667e-06
